ticker,dateTime,open,high,low,close,volume
DE0005933923,08/01/2016,173.4,173.4,173.4,173.4,10
DE0005933923,11/01/2016,170.46,170.46,170.46,170.46,0
DE0005933923,12/01/2016,173.58,173.58,173.58,173.58,0
DE0005933923,13/01/2016,175.13,175.13,174.76,174.76,244
DE0005933923,14/01/2016,169.03,170.39,169.03,170.3,60
DE0005933923,15/01/2016,167.7,167.7,167.7,167.7,1
DE0005933923,18/01/2016,165.83,165.83,165.83,165.83,150
DE0005933923,19/01/2016,169.37,169.37,169.37,169.37,65
DE0005933923,20/01/2016,161.52,161.52,161.52,161.52,0
DE0005933923,21/01/2016,163.04,163.2,163.04,163.2,80
DE0005933923,22/01/2016,169.41,169.41,169.41,169.41,225
DE0005933923,25/01/2016,169.84,169.84,169.84,169.84,0
DE0005933923,26/01/2016,169.62,170.05,169.62,170.05,358
DE0005933923,27/01/2016,169.72,169.72,169.72,169.72,0
DE0005933923,28/01/2016,170.13,170.13,170.13,170.13,82
DE0005933923,29/01/2016,171.13,171.13,171.13,171.13,0
DE0005933923,01/02/2016,171.89,171.89,171.89,171.89,12
DE0005933923,02/02/2016,168.04,168.04,168.04,168.04,0
DE0005933923,03/02/2016,168.09,168.09,168.09,168.09,10
DE0005933923,04/02/2016,166.74,166.74,166.74,166.74,0
DE0005933923,05/02/2016,164.89,164.89,164.89,164.89,0
DE0005933923,08/02/2016,158.94,158.94,158.94,158.94,10
DE0005933923,09/02/2016,156.84,156.84,156.84,156.84,0
DE0005933923,10/02/2016,160.87,160.87,160.87,160.87,56
DE0005933923,11/02/2016,155.89,155.89,155.89,155.89,0
DE0005933923,12/02/2016,157.57,157.57,157.57,157.57,0
DE0005933923,15/02/2016,163.62,163.62,163.62,163.62,0
DE0005933923,16/02/2016,162.14,162.14,162.14,162.14,0
DE0005933923,17/02/2016,167.09,167.09,167.09,167.09,0
DE0005933923,18/02/2016,168.62,168.62,168.62,168.62,0
DE0005933923,19/02/2016,167.03,167.03,167.03,167.03,0
DE0005933923,22/02/2016,170,170,170,170,30
