,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
740,0.05817755282818673,0.04302859032690718,1.1196637505937472,0.011317311775552917,0.14065231590386654,,,0.08957192149566828,,,,,0.7584584508249123,,
171,0.08058063592050843,0.06131620703403903,1.1510926610533223,0.0018378762406314753,0.32094083202711865,,,0.09419308497039924,,,,,,0.5830282067618506,
776,0.09170548344805593,0.07222175143717588,1.1313140684372596,0.029568410430600496,0.3209845200097251,,,0.08612678148097369,,,,,,,0.5633202880787008
352,0.09566760837300219,0.0966568908952231,0.8863062693157243,0.012863910176354418,0.636004347970496,,,,0.07238346334167382,0.27874827851147577,,,,,
889,0.05411099465615896,0.04552657362015834,0.9689065341088487,0.00794667069820796,0.2731496749018764,,,,0.04472237095899242,,0.6741812834409231,,,,
856,0.06636570550628298,0.05293806770644309,1.064748071630554,0.0016027950900628133,0.2992330111216871,,,,0.14054821408306317,,,0.558615979705187,,,
738,0.08214326128788065,0.06147834264777836,1.1734744005902003,0.0054543416837241725,0.36919065830368686,,,,0.03689167281023762,,,,0.5884633272023513,,
366,0.07976478512825669,0.058841853023325306,1.1856320211500047,0.003918984922854158,0.2661479995200551,,,,0.021361210075319673,,,,,0.708571805481771,
860,0.10283583004634753,0.07915563191126712,1.1728265924326877,0.02944789240870311,0.4136863486572893,,,,0.024668855523281432,,,,,,0.5321969034107261
60,0.05073399234294831,0.04342382117606585,0.9380563764250183,0.010170946729485408,0.2647508978203092,,,,,0.1558662269724932,0.5692119284777123,,,,
200,0.06355084899114694,0.050417169086541556,1.0621550150748524,0.015704974199956392,0.2979815001486607,,,,,0.13029713234484366,,0.5560163933065393,,,
591,0.06745370315576399,0.04868734545702882,1.1800541314472013,0.02832535156739428,0.22367943985276442,,,,,0.04508232526492839,,,0.7029128833149129,,
843,0.08791370438444726,0.06695220677395394,1.163721229495868,0.007996290020104622,0.38663072163903994,,,,,0.05218867424917441,,,,0.553184314091681,
342,0.10411702436282436,0.07890678015428271,1.1927621958316101,0.003041294426557174,0.4396196709628379,,,,,0.02864016006476325,,,,,0.5286988745458417
6,0.06769120574841522,0.052943993283868646,1.0896647980271066,0.011962581402544041,0.31459422039698043,,,,,,0.07435866936399897,0.5990845288364766,,,
344,0.06837692326615874,0.04927324776534981,1.1847589901961133,0.007616180214276492,0.2735584220063271,,,,,,0.19163352260074096,,0.5271918751786554,,
377,0.06767935834589192,0.049590563203801036,1.1631115805006806,0.0006220553872410931,0.2576785039321303,,,,,,0.3139158961161568,,,0.4277835445644718,
277,0.08961562772285317,0.06676329648454418,1.19250594136382,0.004017469584681564,0.3405790207559164,,,,,,0.17415231387146368,,,,0.4812511957879383
349,0.07268385716442212,0.05092058016796055,1.2310122343001717,0.0007777677518344388,0.26728530543586315,,,,,,,0.028678104683514692,0.7032588221287878,,
