dateTime,em15,ibtm,iusa,smea,phau,one,two,three,minvar,maxSharpe
2012-12-05,1.1663852030558906,1.0984397163120567,1.2113591410002824,1.215226656334754,1.285002035002035,1.176626318472006,1.194712809615212,1.185111207173665,1.169667550253957,1.184603501623644
2012-12-06,1.1692802573381584,1.1079432624113474,1.2271828200056514,1.2262688880278962,1.3055555555555556,1.187484927353301,1.2055425826054125,1.1932250097606547,1.1780813786772073,1.1927357567391395
2012-12-07,1.164616003216727,1.106595744680851,1.23029104266742,1.225493994575746,1.3085063085063084,1.1869095623468646,1.2050811179991092,1.1916681716553932,1.1760182501578913,1.1912200217183115
2012-12-10,1.158021712907117,1.1077304964539008,1.2382028821701045,1.2283998450213096,1.318986568986569,1.1891426938545333,1.2072190540714753,1.1909020174804767,1.175519724593153,1.1905019569753783
2012-12-11,1.1627663852030559,1.0995035460992908,1.2427239333144955,1.2336303758233242,1.3082010582010581,1.1884953085180683,1.209143631149965,1.1954041756964973,1.1751017778212027,1.1951560435434225
2012-12-12,1.1683152392440692,1.0943262411347519,1.2365074879909579,1.2340178225493996,1.306980056980057,1.1867639879953165,1.2083810124918688,1.1962968644327157,1.1757009664010283,1.1959389432037586
2012-12-13,1.1753920386007237,1.0868794326241136,1.2271828200056514,1.2285935683843472,1.2922262922262922,1.181520144408008,1.2044017437438226,1.1967587858849011,1.1735622981170883,1.1963717428876568
2012-12-14,1.1757137112987535,1.0835460992907802,1.214749929358576,1.2270437814800466,1.2844932844932844,1.1770146426640378,1.1993517868716146,1.1920256320740297,1.1716056211727544,1.1915267245254162
2012-12-17,1.1720948934459188,1.0786524822695036,1.218705849109918,1.2264626113909338,1.2814407814407813,1.1751924936142832,1.1985420714159662,1.1913666250348272,1.1683725418945718,1.1909763244619223
2012-12-18,1.1728990751909931,1.0681560283687945,1.228878214184798,1.2340178225493996,1.2682132682132683,1.1744271577170033,1.2009736809808234,1.1956840813287997,1.1660838925566483,1.1955754231909368
2012-12-19,1.1771612384398875,1.0677304964539007,1.2280305170952246,1.2380860131731888,1.2555962555962557,1.174534328237456,1.201507404500187,1.1977846072870328,1.1672863255374408,1.1977676551520522
2012-12-20,1.1821471652593487,1.07,1.2240745973438825,1.238473459899264,1.2350427350427349,1.1734433180047725,1.2000654942650957,1.1990278194701507,1.16791698323897,1.199131367906662
2012-12-21,1.180377965420185,1.0770921985815602,1.221248940378638,1.2336303758233242,1.251017501017501,1.1752808660006477,1.200025116864218,1.1970240410099549,1.1697467870608396,1.1969342124063602
2012-12-27,1.1834338560514677,1.075531914893617,1.2017519073184515,1.2322743122820612,1.2503052503052503,1.1711821146290062,1.1945943079872747,1.1912466099881291,1.170084946482176,1.1908542364409715
2012-12-28,1.1873743466023323,1.0772340425531914,1.2037298671941226,1.225493994575746,1.246133496133496,1.1711032040537475,1.1947668169227545,1.1943405911284422,1.1701168089988994,1.1939997339042114
2013-01-02,1.179493365500603,1.069645390070922,1.2398982763492512,1.2533901588531577,1.2752340252340253,1.1829733796852815,1.2109834658560825,1.20400868732891,1.1741826622490745,1.2039625303346873
2013-01-03,1.1715319662243668,1.0741843971631206,1.2591127437129133,1.2595893064703603,1.2742165242165242,1.1877237748521168,1.2159513664132207,1.2067153150248215,1.1737684403802062,1.2070096856772456
2013-01-04,1.1664656212303983,1.0739716312056737,1.2650466233399267,1.2624951569159242,1.2533577533577533,1.1863287449947273,1.214685643210625,1.205781133374388,1.170380968202116,1.2063993742355357
2013-01-07,1.1663852030558906,1.071418439716312,1.2574173495337666,1.2584269662921348,1.2512210012210012,1.182993535813352,1.2110901031290555,1.2027360981639132,1.1684677028820434,1.2032610226883187
2013-01-08,1.1692802573381584,1.0778014184397162,1.2543091268719977,1.257458349476947,1.2606837606837606,1.1856183483377114,1.212417003070784,1.2033555514898118,1.1721285005119317,1.203724235402997
2013-01-09,1.1710494571773222,1.0795035460992908,1.2644814919468776,1.2652072839984503,1.2646520146520146,1.1904639119195188,1.2181162976120805,1.2084239763121958,1.1754690071712037,1.2088974372080932
2013-01-10,1.166626457579413,1.0639716312056737,1.2495055100310821,1.2613328167376987,1.2619047619047619,1.1808749224218171,1.209693792941732,1.1999020710788173,1.1681294190350615,1.200199575513714
2013-01-11,1.1672698029754724,1.0520567375886525,1.242441367617971,1.2607516466485857,1.2392144892144892,1.1736310336464506,1.2041908031880644,1.1973061600484372,1.1625682624084819,1.197720727912389
2013-01-14,1.1691194209891436,1.0556737588652483,1.2404634077423,1.2566834560247968,1.2418599918599917,1.1741413837968218,1.2039649148969165,1.1976709815315831,1.1636465893389847,1.1980198489056393
2013-01-15,1.1720948934459188,1.0607801418439715,1.2413111048318735,1.2559085625726463,1.2554945054945055,1.1776464052727298,1.2068309767317147,1.199923212006927,1.1674247760226797,1.2001333900151367
2013-01-16,1.1703256936067552,1.0615602836879434,1.248657812941509,1.2580395195660596,1.255901505901506,1.1794628409193983,1.2090491348366361,1.2017309782702568,1.1675021968854176,1.2020569140137818
2013-01-17,1.165178930438279,1.0553191489361704,1.2495055100310821,1.2623014335528864,1.2564102564102564,1.1776339451263262,1.2080385593860283,1.198978609739192,1.1647583771134822,1.1993384208995912
2013-01-18,1.1781262565339767,1.0611347517730496,1.2551568239615711,1.2626888802789618,1.2636345136345135,1.1838982690502682,1.214999626745213,1.209023260401744,1.1721967177349184,1.2093302368919914
2013-01-21,1.1718536389223966,1.0582978723404255,1.2613732692851087,1.2642386671832624,1.2625152625152625,1.1832340030318076,1.2148971193844729,1.207672910999783,1.1692211048465895,1.2081167599245943
2013-01-22,1.1676718938480095,1.0620567375886525,1.2599604408024867,1.2650135606354127,1.2682132682132683,1.1839675271551042,1.2143194131024233,1.2046698409039083,1.1694438071459359,1.2050566633311641
2013-01-23,1.1742661841576199,1.064113475177305,1.2661768861260243,1.2659821774506006,1.2623117623117623,1.1867502683312168,1.2179718803241202,1.210991813706839,1.172204976903168,1.2114978940448569
2013-01-24,1.1725774024929634,1.053900709219858,1.2664594518225487,1.2696629213483148,1.245014245014245,1.1824115924001473,1.215535135987727,1.2099157701567145,1.167752371468736,1.210607676981129
2013-01-25,1.1700844390832328,1.0440425531914894,1.2565696524441932,1.2725687717938783,1.2287342287342287,1.1759307614951306,1.2097876600095752,1.2044001701905171,1.1630162368070898,1.2051183611883862
2013-01-28,1.1678327301970246,1.0394326241134753,1.2588301780163886,1.2729562185199534,1.224969474969475,1.1742505600776636,1.2090303260763098,1.2038931022943011,1.1605411642184005,1.2046944938995172
2013-01-29,1.168958584640129,1.0380141843971633,1.259677875105962,1.277411855869818,1.2269027269027268,1.1753041911326036,1.21056500022778,1.2049185493444299,1.161777068594579,1.2057076707798582
2013-01-30,1.1656614394853237,1.0273758865248228,1.2523311669963266,1.2696629213483148,1.2330077330077331,1.1690446448242133,1.2053687281674137,1.200136096149839,1.1562627318801804,1.200770105631784
2013-01-31,1.1692802573381584,1.0298581560283688,1.2458321559762646,1.266757070902751,1.2196784696784697,1.1672991906197925,1.2028388007455608,1.1996394799304229,1.156385553358113,1.2002903358205415
