,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
53,FR0010754135,AMUNDI GOVT EMTS INV GR 1-3 UCITS ETF,C13.MI,FTSE MTS EUROZONE GOV BROAD IG 1-3Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C13.MI,2010-10-20,2019-04-04,1734
54,FR0010754168,AMUNDI GOVT EMTS INV GR 3-5 UCITS ETF,C33.MI,FTSE MTS EUROZONE GOV BROAD IG 3-5Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C33.MI,2010-09-22,2019-04-04,1058
57,LU1681047236,AMUNDI EURO STOXX 50 UCITS ETF DR - EUR,C50.MI,EURO STOXX 50,0.0015,AZIONARIO EUROPA - AREA,AMUNDI,ETF,C50.MI,2010-03-17,2019-04-04,8655
58,FR0010754176,AMUNDI GOVT EMTS INV GR 5-7 UCITS ETF,C53.MI,FTSE MTS EUROZONE GOV BROAD IG 5-7Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C53.MI,2010-09-30,2019-04-04,359
59,FR0010754184,AMUNDI GOVT EMTS INV GR 7-10 UCITS ETF,C73.MI,FTSE MTS EUROZONE GOV BROAD IG 7-10Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C73.MI,2010-09-22,2019-04-04,348
60,LU1130155606,UBS MSCI CANADA UCITS ETF EUR HEDGED ACC,CAHEUA.MI,MSCI CANADA 100% HEDGED TO EUR TRN,0.0043,AZIONARIO NORD AMERICA,UBS ETF,ETF,LU1130155606,2015-03-06,2019-04-04,11907
61,LU0496786731,LYXOR MSCI CANADA UCITS ETF - DIST,CAN.MI,MSCI CANADA NT CAD,0.004,AZIONARIO NORD AMERICA,LYXOR,ETF,CAN.MI,2010-09-08,2019-04-04,114
62,LU0950672807,UBS ETF MSCI CANADA UCITS ETF CAD A-ACC,CANA.MI,MSCI CANADA TRN,0.0033,AZIONARIO NORD AMERICA,UBS ETF,ETF,CANA.MI,2019-01-07,2019-04-04,18216
63,LU0446734872,UBS MSCI CANADA UCITS ETF A-DIS,CANEUA.MI,MSCI CANADA,0.0033,AZIONARIO NORD AMERICA,UBS ETF,ETF,CANEUA.MI,2010-06-07,2019-04-04,7925
67,LU1681046261,AMUNDI GOV EMTS BROAD IG UCITS ETF,CB3.MI,FTSE MTS EUROZONE GOV BROAD IG,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,CB3.MI,2010-09-16,2019-04-04,18800
