,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
443,IE00B1TXLS18,ISHARES UK PROPERTY UCITS ETF GBP DIST,IUKP.MI,FTSE EPRA/NAREIT UK INDEX TR,0.004,REAL ESTATE,ISHARES,ETF,IUKP.MI,2007-12-03,2019-04-04,5975
444,IE0031442068,ISHARESCORES&P500$(DIST) UCITS ETF,IUSA.MI,S&P 500,0.0007,AZIONARIO NORD AMERICA,ISHARES,ETF,IUSA.MI,2004-05-11,2019-04-04,246870
445,IE00B3ZW0K18,ISHARES S&P 500 EUR HEDGED UCITS ETF ACC,IUSE.MI,S&P 500 EURO HEDGED TRN,0.002,AZIONARIO NORD AMERICA,ISHARES,ETF,IUSE.MI,2011-04-04,2019-04-04,135827
446,IE00B1FZSF77,ISHARES US PROPERTY YIELD UCITS ETF,IUSP.MI,FTSE EPRA/NAREIT UNITED STATES DIVIDEND + INDEX TR,0.004,REAL ESTATE,ISHARES,ETF,IUSP.MI,2007-03-20,2019-04-04,5717
447,IE00B441G979,ISHARES MSCI WORLD EUR HDG UCITS ETF ACC,IWDE.MI,MSCI WORLD EURO HEDGED TRN,0.0055,AZIONARIO MONDO,ISHARES,ETF,IWDE.MI,2011-04-04,2019-04-04,111476
448,IE00B1FZS350,ISHARES DEV MKT PROP YLD UCITS ETF DIST,IWDP.MI,FTSE EPRA/NAREIT DEVELOPED DIVIDEND + INDEX TR,0.0059,REAL ESTATE,ISHARES,ETF,IWDP.MI,2007-03-20,2019-04-04,37055
451,IE00B0M62Q58,ISHARES MSCI WORLD UCITS ETF USD DIST,IWRD.MI,MSCI WORLD INDEX,0.005,AZIONARIO MONDO,ISHARES,ETF,IWRD.MI,2006-03-09,2019-04-04,46751
455,IE00BYVZV757,JPM BETABUIL EUR GOV 1-3 Y ACC UCITS ETF,JE13.MI,JPMORGAN EMU GOV BOND INDEX 1-3 TR,0.001,TITOLI DI STATO - EURO,JP MORGAN,ETF,JE13.MI,2018-02-22,2019-04-04,762
470,IE00BD9MMD49,JPM BETABUIL TREAS 1-3 USD ACC UCITS ETF,JU13.MI,JPMORGAN GOV BOND INDEX UNITED STATES 1-3 Y,0.001,TITOLI DI STATO - NON EURO,JP MORGAN,ETF,JU13.MI,2018-06-12,2019-04-04,337
478,LU1781540957,LYXOR CORE MORNINGSTAR US DR UCITS ETF,LCUS.MI,MORNINGSTAR US LARGE-MID CAP NR INDEX,0.0004,AZIONARIO NORD AMERICA,LYXOR,ETF,LCUS.MI,2018-03-29,2019-04-04,57
479,LU1781541179,LYXOR CORE MSCI WORLD DR UCITS ETF,LCWD.MI,MSCI TRN WORLD INDEX,0.0012,AZIONARIO MONDO,LYXOR,ETF,LCWD.MI,2018-03-29,2019-04-04,12032
485,IE00BYSZ6062,SPDR BARCL 10+ Y EURO GOVT UCITS ETF,LGOV.MI,BARCLAYS EURO 10+ YEAR TREASURY BOND INDEX,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,IE00BYSZ6062,2017-01-24,2019-04-04,28
489,IE00B802KR88,SPDR S&P 500 LOW VOLATILITY UCITS ETF,LOWV.MI,S&P 500 LOW VOLATILITY TRN,0.0035,AZIONARIO NORD AMERICA,SPDR,ETF,IE00B802KR88,2013-05-02,2019-04-04,3485
492,FR0010296061,LYXOR MSCI USA UCITS ETF - DIST,LUSA.MI,MSCI TRN USA INDEX,0.0025,AZIONARIO NORD AMERICA,LYXOR,ETF,LUSA.MI,2006-09-14,2019-04-04,842
494,IE00BYSZ5V04,SPDR BARCL 10+ Y US TREASURY UCITS ETF,LUTR.MI,BARCLAYS CAPITAL US 10+ YEAR TREASURY BOND TR,0.0015,TITOLI DI STATO - NON EURO,SPDR,ETF,IE00BYSZ5V04,2017-01-24,2019-04-04,1454
504,FR0010261198,LYXOR MSCI EUROPE UCITS ETF - DIST,MEU.MI,MSCI TRN EUROPE INDEX,0.0025,AZIONARIO EUROPA - AREA,LYXOR,ETF,MEU.MI,2006-04-21,2019-04-04,4604
505,LU0908500753,LYXOR CORE STX EUR 600 DR UCITS ETF ACC,MEUD.MI,STOXX EUROPE 600 TRN,0.0007,AZIONARIO EUROPA - AREA,LYXOR,ETF,LU0908500753,2015-11-18,2019-04-04,1629
506,LU0908501132,LYXOR CORE EUROSTX 300 DR UCITS ETF DIST,MFDD.MI,EURO STOXX TRN,0.0007,AZIONARIO EUROPA - AREA,LYXOR,ETF,LU0908501132,2015-11-18,2019-04-04,126
508,FR0007075494,LYXOR UCITS ETF DJ GLOBAL TITANS 50,MGT.MI,DJ GLOBAL TITANS 50 NTR,0.004,AZIONARIO MONDO,LYXOR,ETF,MGT.MI,2004-05-11,2019-04-04,2101
516,FR0007054358,LYXOR EURO STOXX 50 DR UCITS ETF - DIST,MSE.MI,EURO STOXX 50 TRN,0.002,AZIONARIO EUROPA - AREA,LYXOR,ETF,MSE.MI,2004-05-17,2019-04-04,66809
521,LU1646362167,LYXOR FTSE USA MINIM VAR UCITS ETF ACC,MVAU.MI,FTSE USA MINIMUM VARIANCE NET INDEX,0.002,AZIONARIO NORD AMERICA,LYXOR,ETF,LU1646362167,2017-02-14,2019-04-04,212
522,LU1389266302,LYXOR FTSE ALL WLD MIN VAR UCITS ETF ACC,MVAW.MI,FTSE ALL WORLD MINIMUM VARIANCE NET TAX INDEX,0.003,AZIONARIO MONDO,LYXOR,ETF,LU1389266302,2017-02-14,2019-04-04,17
523,IE00B86MWN23,ISHARES EDG MSCI EU MIN VO UCITS ETF ACC,MVEU.MI,MSCI EUROPE MINIMUM VOLATILITY TRN,0.0025,AZIONARIO EUROPA - AREA,ISHARES,ETF,IE00B86MWN23,2015-02-16,2019-04-04,6668
524,IE00B8FHGS14,ISHARES EDG MSCI WD MIN VO UCITS ETF ACC,MVOL.MI,MSCI WORLD MINIMUM VOLATILITY TRN,0.003,AZIONARIO MONDO,ISHARES,ETF,IE00B8FHGS14,2015-02-16,2019-04-04,34446
525,IE00B6SPMN59,ISHARES EDG S&P 500 MIN VO UCITS ETF ACC,MVUS.MI,S&P 500 MINIMUM VOLATILITY TRN,0.002,AZIONARIO NORD AMERICA,ISHARES,ETF,IE00B6SPMN59,2015-02-16,2019-04-04,5470
526,LU1437016972,AMUNDI MSCI WORLD UCITS ETF DR,MWRD.MI,MSCI WORLD INDEX,0.0018,AZIONARIO MONDO,AMUNDI,ETF,LU1437016972,2017-04-05,2019-04-04,3653
530,LU1437016543,AMUNDI MSCI NORTH AMERICA UCITS ETF DR,NRAM.MI,MSCI NORTH AMERICA,0.0015,AZIONARIO NORD AMERICA,AMUNDI,ETF,LU1437016543,2017-04-05,2019-04-04,1405
534,IE00B23D8X81,INVESCO FTSE RAFI EUROPE UCITS ETF,PEF.MI,FTSE RAFI EUROPE,0.005,AZIONARIO EUROPA - AREA,INVESCO,ETF,PEF.MI,2007-11-26,2019-04-04,274
538,IE00B23D8S39,INVESCO FTSE RAFI US 1000 UCITS ETF,PFT.MI,FTSE RAFI US 1000,0.0039,AZIONARIO NORD AMERICA,INVESCO,ETF,PFT.MI,2007-11-26,2019-04-04,1281
543,IE00BDVJF675,INVESCO PREFERRED SHARES UCITS ETF,PRFD.MI,BOFA MERRILL L DIV CORE PL FX PREF SEC NTR,0.005,AZIONARIO NORD AMERICA,INVESCO,ETF,IE00BDVJF675,2017-10-25,2019-04-04,2360
544,IE00BDT8V027,INVESCO PREF SHARES UCITS ETF EU H DIS,PRFE.MI,BOFA MERRILL L DIV CORE PL FX PREF SEC NTR,0.0055,AZIONARIO NORD AMERICA,INVESCO,ETF,PRFE.MI,2018-04-27,2019-04-04,1103
547,IE00B23LNQ02,INVESCO FTSE RAFI ALL WLD 3000 UCITS ETF,PSRW.MI,FTSE RAFI ALL-WORLD 3000 TRN,0.005,AZIONARIO MONDO,INVESCO,ETF,IE00B23LNQ02,2014-09-09,2019-04-04,1315
550,IE00B23D9240,INVESCO DYNAMIC US MARKET UCITS ETF,PWC.MI,DYNAMIC MARKET INTELLIDEX,0.0075,AZIONARIO NORD AMERICA,INVESCO,ETF,PWC.MI,2008-01-18,2019-04-04,276
551,IE00B23D8Y98,INVESCO FTSE RAFI EU MID-SMALL UCITS ETF,PWD.MI,FTSE RAFI DEVELOPED EUROPE MID-SMALL,0.005,AZIONARIO EUROPA - AREA,INVESCO,ETF,PWD.MI,2007-12-10,2019-04-04,3376
554,IE00BJ38QD84,SPDR RUSSELL 2000 US SMALL CAP UCITS ETF,R2US.MI,RUSSELL 2000 TRN INDEX,0.003,AZIONARIO NORD AMERICA,SPDR,ETF,IE00BJ38QD84,2014-12-10,2019-04-04,4002
557,LU1812091194,LYXOR FTSE EPRA/NAREIT DEV EU UCITS ETF,REEU.MI,FTSE EPRA/NAREIT DEV EU NTR,0.004,REAL ESTATE,LYXOR,ETF,REEU.MI,2010-03-17,2019-04-04,298
558,LU1832418856,LYXOR FTSE EPRA/NAREIT USA UCITS ETF,REUSA.MI,FTSE EPRA/NAREIT UNITED STATES NTR,0.004,REAL ESTATE,LYXOR,ETF,REUSA.MI,2010-03-17,2019-04-04,26
559,LU1832418773,LYXOR FTSE EPRA/NAR GLOB DEVEL UCITS ETF,REWLD.MI,FTSE EPRA/NAREIT DEVELOPED INDEX NET TRI,0.0045,REAL ESTATE,LYXOR,ETF,REWLD.MI,2010-03-17,2019-04-04,723
565,IE00B3CNHJ55,L&G RUSSELL 2000 US SMALL CAP UCITS ETF,RTWO.MI,RUSSELL 2000 TRN INDEX,0.0045,AZIONARIO NORD AMERICA,LEGAL & GENERAL,ETF,RTWO.MI,2009-01-29,2019-04-04,308
568,LU1437017863,AMUNDI S&P 500 UCITS ETF DR,S500.MI,S&P 500,0.0015,AZIONARIO NORD AMERICA,AMUNDI,ETF,LU1437017863,2017-04-05,2019-04-04,55
569,LU0599613147,OSSIAM STX EU600 EQ WEIGHT NR UCITS ETF,S6EW.MI,STOXX EUROPE 600 EQUAL WEIGHT NTR,0.0035,AZIONARIO EUROPA - AREA,OSSIAM,ETF,S6EW.MI,2011-07-01,2019-04-04,561
577,IE00B60SWW18,INVESCO STOXX EUROPE 600 UCITS ETF,SDJ600.MI,STOXX EUROPE 600 TRN,0.0019,AZIONARIO EUROPA - AREA,INVESCO,ETF,SDJ600.MI,2014-09-05,2019-04-04,864
578,IE00B60SWX25,INVESCO EURO STOXX 50 UCITS ETF,SDJE50.MI,EURO STOXX 50 TRN,0.0005,AZIONARIO EUROPA - AREA,INVESCO,ETF,SDJE50.MI,2018-09-03,2019-04-04,3069
579,IE00B5B5TG76,INVESCO EURO STOXX 50 UCITS ETF (B),SDJE5D.MI,EURO STOXX 50,0.0005,AZIONARIO EUROPA - AREA,INVESCO,ETF,IE00B5B5TG76,2017-11-13,2019-04-04,5676
580,IE00B60SX063,INVESCO STOXX EUROPE MID 200 UCITS ETF,SDJMID.MI,STOXX EUROPE MID 200 INDEX,0.0035,AZIONARIO EUROPA - AREA,INVESCO,ETF,SDJMID.MI,2017-12-01,2019-04-04,112
581,IE00B60SWZ49,INVESCO STOXX EUROPE SMALL 200 UCITS ETF,SDJSML.MI,STOXX EUROPE SMALL 200 NTR,0.0035,AZIONARIO EUROPA - AREA,INVESCO,ETF,IE00B60SWZ49,2017-11-03,2019-04-04,33
583,IE00B4WXJJ64,ISHARES CORE EU GOVT BOND UCITS ETF DIST,SEGA.MI,BARCLAYS EURO TREASURY BOND TR,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,SEGA.MI,2010-02-02,2019-04-04,4838
596,IE00B4K48X80,ISHARESCOREMSCIEUROPE€(ACC) UCITS ETF,SMEA.MI,MSCI TRN EUROPE INDEX,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,SMEA.MI,2010-02-11,2019-04-04,35167
599,IE00B60SWY32,INVESCO MSCI EUROPE UCITS ETF,SMSEUR.MI,MSCI TRN EUROPE INDEX,0.0019,AZIONARIO EUROPA - AREA,INVESCO,ETF,SMSEUR.MI,2014-09-05,2019-04-04,138
601,IE00B60SX394,INVESCO MSCI WORLD UCITS ETF,SMSWLD.MI,MSCI TRN WORLD INDEX,0.0019,AZIONARIO MONDO,INVESCO,ETF,SMSWLD.MI,2014-09-05,2019-04-04,64723
602,LU1589350070,AMUNDI US EQ MUL SM SC BETA UCITS ETF DR,SMTU.MI,SCIENTIFIC BETA US MULTI-BETA-STRATEGY 4-FACTORERC,0.0033,AZIONARIO NORD AMERICA,AMUNDI,ETF,LU1589350070,2017-08-08,2019-04-04,3
603,IE00B7K93397,UBS (IRL) S&P 500 UCITS ETF A-DIS,SP5EUY.MI,S&P 500 TRN USD,0.0012,AZIONARIO NORD AMERICA,UBS ETF,ETF,IE00B7K93397,2013-01-14,2019-04-04,13
604,LU0599612685,OSSIAM US MIN VARIANCE ESG NR UCITS ETF,SPMV.MI,US ESG MINIMUM VARIANCE NR,0.0065,AZIONARIO NORD AMERICA,OSSIAM,ETF,SPMV.MI,2011-07-01,2019-04-04,240
606,LU0496786574,LYXOR S&P 500 UCITS ETF - DIST,SPX.MI,S&P 500 TRN USD,0.0015,AZIONARIO NORD AMERICA,LYXOR,ETF,SPX.MI,2010-05-31,2019-04-04,51046
607,IE00BYML9W36,INVESCO S&P 500 UCITS ETF - B,SPXD.MI,S&P 500 TRN USD,0.0005,AZIONARIO NORD AMERICA,INVESCO,ETF,IE00BYML9W36,2017-11-13,2019-04-04,2244
609,LU0959211243,LYXOR S&P 500 DAI EU HED UCITS ETF DIST,SPXH.MI,S&P 500 DAILY EURO HEDGED TRN,0.0015,AZIONARIO NORD AMERICA,LYXOR,ETF,LU0959211243,2013-10-30,2019-04-04,6572
611,IE00B3YCGJ38,INVESCO S&P 500 UCITS ETF,SPXS.MI,S&P 500 TRN USD,0.0005,AZIONARIO NORD AMERICA,INVESCO,ETF,SPXS.MI,2014-09-05,2019-04-04,2204
612,IE00B4YBJ215,SPDR S&P 400 US MID CAP UCITS ETF,SPY4.MI,S&P MIDCAP 400 TRN,0.003,AZIONARIO NORD AMERICA,SPDR,ETF,IE00B4YBJ215,2014-01-27,2019-04-04,1268
613,IE00B6YX5C33,SPDR S&P 500 UCITS ETF,SPY5.MI,S&P 500 TRN USD,0.0009,AZIONARIO NORD AMERICA,SPDR,ETF,SPY5.MI,2012-04-12,2019-04-04,5623
614,IE00B60SX402,INVESCO RUSSELL 2000 UCITS ETF,SR2000.MI,RUSSELL 2000 TRN INDEX,0.0045,AZIONARIO NORD AMERICA,INVESCO,ETF,SR2000.MI,2014-09-05,2019-04-04,1926
618,LU0969639128,UBS BL BAR EU 1-10Y TREA UCITS ETF A-DIS,SS1EUA.MI,BLOOMBERG BARCLAYS EUR TREASURY 1-10 BOND,0.0017,TITOLI DI STATO - EURO,UBS ETF,ETF,LU0969639128,2014-01-13,2019-04-04,136411
634,IE00B4L5Y983,ISHARES CORE MSCI WORLD UCITS ETF ACC,SWDA.MI,MSCI TRN WORLD INDEX,0.002,AZIONARIO MONDO,ISHARES,ETF,SWDA.MI,2010-02-01,2019-04-04,132219
646,DE000A0D8Q07,ISHARES EURO STOXX UCITS ETF,EXSI.MI,EURO STOXX,0.00207,AZIONARIO EUROPA - AREA,ISHARES,ETF,EXSI.MI,2008-02-26,2019-04-04,8567
647,DE0002635307,ISHARES STOXX EUROPE 600 UCITS ETF,EXSA.MI,STOXX EUROPE 600,0.00203,AZIONARIO EUROPA - AREA,ISHARES,ETF,EXSA.MI,2008-02-26,2019-04-04,94309
664,IE00BYSZ5R67,SPDR BARCL 3-5 Y US TREASURY UCITS ETF,TRS5.MI,BARCLAYS CAPITAL US 3-5 YEAR TREASURY BOND TR,0.0015,TITOLI DI STATO - NON EURO,SPDR,ETF,IE00BYSZ5R67,2017-01-24,2019-04-04,2346
665,IE00BYSZ5T81,SPDR BARCL 7-10 Y US TREASURY UCITS ETF,TRSX.MI,BLOOMBERG BARCLAYS US 7-10 YEAR TREASURY BOND TR,0.0015,TITOLI DI STATO - NON EURO,SPDR,ETF,IE00BYSZ5T81,2017-01-24,2019-04-04,1601
671,LU1407887329,LYXOR $ TREAS 1-3Y DR EU H UCITS ETF DIS,U13H.MI,MARKIT IBOXX USD TREAS 1-3MIDPRICE TCA(EUR HEDGED),0.0015,TITOLI DI STATO - NON EURO,LYXOR,ETF,LU1407887329,2017-04-13,2019-04-04,3655
682,IE00BD6GCF16,FIRST TRUST US EQUITY INCOME UCITS ETF B,UNCA.MI,NASDAQ US HIGH EQUITY INCOME NET TOTAL RETURN,0.0055,AZIONARIO NORD AMERICA,FIRST TRUST,ETF,IE00BD6GCF16,2017-07-31,2019-04-04,300
687,LU1407890620,LYXOR $ TREASURIES 10Y+ DR UCITS ETF,US10.MI,IBOXX US TREASURIES 10Y+ MID PRICE TR,0.0007,TITOLI DI STATO - NON EURO,LYXOR,ETF,US10.MI,2011-01-17,2019-04-04,499
688,LU1407887162,LYXOR CORE IBX $ TREAS 1-3Y DR UCITS ETF,US13.MI,MARKIT IBOXX USD TREASURIES 1-3 MID PRICE TCA TRI,0.0007,TITOLI DI STATO - NON EURO,LYXOR,ETF,LU1407887162,2011-01-12,2019-04-04,1109
690,LU1407888996,LYXOR CORE IBX $ TREAS 5-7Y DR UCITS ETF,US57.MI,MARKIT IBOXX USD TREASURIES 5-7 MID PRICE TCA TRI,0.0007,TITOLI DI STATO - NON EURO,LYXOR,ETF,LU1407888996,2011-01-12,2019-04-04,2468
692,LU0136234654,UBS MSCI USA UCITS ETF A-DIS,USAEUA.MI,MSCI USA,0.0014,AZIONARIO NORD AMERICA,UBS ETF,ETF,USAEUA.MI,2010-06-08,2019-04-04,710
693,IE00B77D4428,UBS (IRL) MSCI USA UCITS ETF A-DIS,USAEUY.MI,MSCI TRN USA INDEX,0.0014,AZIONARIO NORD AMERICA,UBS ETF,ETF,IE00B77D4428,2013-01-14,2019-04-04,18694
694,IE00BD4TXS21,UBS MSCI USA UCITS ETF USD ACC,USAUSW.MI,MSCI TRN USA INDEX,0.0014,AZIONARIO NORD AMERICA,UBS ETF,ETF,USAUSW.MI,2019-01-04,2019-04-04,2936
697,IE00BD4TYG73,UBS MSCI USA EUR HEDGED UCITS ETF A-ACC,USEUWH.MI,MSCI USA 100% HEDGED TO EUR TRN,0.0019,AZIONARIO NORD AMERICA,UBS ETF,ETF,IE00BD4TYG73,2013-12-02,2019-04-04,27814
707,LU1829221024,LYXOR NASDAQ 100 UCITS ETF,UST.MI,NASDAQ 100 TRN,0.003,AZIONARIO NORD AMERICA,LYXOR,ETF,UST.MI,2004-05-11,2019-04-04,54191
708,LU1459800113,UBS BL BA US 10+Y TR UCITS ETF EU H A-DI,UST10F.MI,BLOOMBERG BARCLAYS CAPITALUS10+YTREABONDHEDGEEURTR,0.0025,TITOLI DI STATO - NON EURO,UBS ETF,ETF,LU1459800113,2016-11-10,2019-04-04,18971
709,LU1324510525,UBS BL BAR US 1-3Y TREA UCITS ETF EU HED,UST1F.MI,BLOOMBERG BARCLAYS US 1-3 YEAR TREAS BOND HED TR,0.0017,TITOLI DI STATO - NON EURO,UBS ETF,ETF,LU1324510525,2016-02-16,2019-04-04,1599
712,LU0721552544,UBS BL BAR US 1-3Y TREAS UCITS ETF A-DIS,UT1EUA.MI,BLOOMBERG BARCLAYS US 1-3 YEAR TREASURY BOND TR,0.0012,TITOLI DI STATO - NON EURO,UBS ETF,ETF,LU0721552544,2013-01-14,2019-04-04,960
713,LU0721552973,UBS BL BAR US 7-10Y TREA UCITS ETF A-DIS,UT7EUA.MI,BLOOMBERG BARCLAYS US 7-10 YEAR TREASURY BOND TR,0.0012,TITOLI DI STATO - NON EURO,UBS ETF,ETF,LU0721552973,2013-01-14,2019-04-04,110
737,IE00BYMLZY74,WISDOMTREE ENHANC COMM USD ACC UCITS ETF,WCOA.MI,OPTIMISED ROLL COMMODITY TOTAL RETURN INDEX,0.0035,COMMODITIES,WISDOMTREE,ETF,IE00BYMLZY74,2016-06-09,2019-04-04,2565
738,IE00BG88WG77,WISDOMTREE ENH COMMOD UCITS ETF EUR HDG,WCOE.MI,OPTIMIZED ROLL COMMODITY MONTHLY EUR-HDG TOTAL RET,0.0035,COMMODITIES,WISDOMTREE,ETF,WCOE.MI,2018-08-17,2019-04-04,81
741,IE00BD49RK20,WISDOMTREE EUR GOV ENHAN UCITS ETF EUR A,WGOV.MI,BARCLAYS EURO TREASURY ENHANCED YIELD BOND,0.0016,TITOLI DI STATO - EURO,WISDOMTREE,ETF,WGOV.MI,2018-07-23,2019-04-04,10
744,FR0010315770,LYXOR MSCI WORLD UCITS ETF - DIST,WLD.MI,MSCI TRN WORLD INDEX,0.003,AZIONARIO MONDO,LYXOR,ETF,WLD.MI,2006-09-07,2019-04-04,4522
745,FR0013209921,LYXOR MSCI WORLD EX EMU UCITS ETF - ACC,WLDX.MI,MSCI WORLD EX EMU NTR,0.0035,AZIONARIO MONDO,LYXOR,ETF,FR0013209921,2016-11-25,2019-04-04,3083
748,LU0799656698,OSSIAM WORLD MINIM VARIANCE NR UCITS ETF,WOMV.MI,OSSIAM WORLD MINIMUM VARIANCE NETR USD,0.0065,AZIONARIO MONDO,OSSIAM,ETF,LU0799656698,2012-10-22,2019-04-04,180
753,LU0290357333,XTRACKERS II EUROZ GOVT 10-15 UCITS ETF,X105.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 10-15TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X105.MI,2007-11-07,2019-04-04,10
754,LU0290356871,XTRACKERS II EUROZ GOVT 1-3 UCITS ETF,X13E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 1-3 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X13E.MI,2007-11-07,2019-04-04,2586
756,LU0290357507,XTRACKERS II EUROZ GOVT 15-30 UCITS ETF,X15E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 15-30TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X15E.MI,2007-11-07,2019-04-04,29
757,LU1681046774,AMUNDI GOV LOW RAT EMTS IG EUR UCITS ETF,X1G.MI,FTSE MTS LOWEST-RATED EUROZONE GOV BOND IG,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,X1G.MI,2010-09-10,2019-04-04,5811
758,LU0290357846,XTRACKERS II EUROZ GOVT 25+ UCITS ETF,X25E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 25+ TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X25E.MI,2007-11-07,2019-04-04,147
759,LU0290356954,XTRACKERS II EUROZ GOVT 3-5 UCITS ETF,X35E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 3-5 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X35E.MI,2007-11-07,2019-04-04,3428
760,LU0290357176,XTRACKERS II EUROZ GOVT 5-7 UCITS ETF,X57E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 5-7 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X57E.MI,2007-11-07,2019-04-04,837
761,LU0290357259,XTRACKERS II EUROZ GOVT 7-10 UCITS ETF,X710.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 7-10 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X710.MI,2007-11-07,2019-04-04,1783
766,LU0468897110,XTRACKERS II GERMANY GOVT 1-3 UCITS ETF,XB13.MI,IBOXX EUR GERMANY 1-3 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XB13.MI,2011-01-25,2019-04-04,1
774,LU0468896575,XTRACKERS II GERMANY GOVT UCITS ETF,XBTR.MI,IBOXX EUR GERMANY TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XBTR.MI,2011-01-25,2019-04-04,26
776,LU0476289540,XTRACKERS MSCI CANADA UCITS ETF,XCAN.MI,MSCI CANADA TRN USD,0.0035,AZIONARIO NORD AMERICA,XTRACKERS,ETF,XCAN.MI,2010-07-26,2019-04-04,2543
778,LU0494592974,XTRACKERS II AUSTRAL GOVT BOND UCITS ETF,XCS2.MI,FTSE AUSTRALIAN GOV BOND,0.0025,TITOLI DI STATO - NON EURO,XTRACKERS,ETF,LU0494592974,2013-10-23,2019-04-04,61
782,LU0846194776,XTRACKERS MSCI EMU UCITS ETF,XD5E.MI,MSCI EMU TRN,0.0015,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,LU0846194776,2013-01-15,2019-04-04,17941
783,LU0835262626,XTRACKERS EUROSTX 50 EX FINANC UCITS ETF,XD5F.MI,EURO STOXX 50 EX FINANCIALS,0.002,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,LU0835262626,2013-01-15,2019-04-04,754
784,IE00BJ0KDR00,XTRACKERS MSCI USA UCITS ETF,XD9U.MI,MSCI TRN USA INDEX,0.0009,AZIONARIO NORD AMERICA,XTRACKERS,ETF,IE00BJ0KDR00,2014-07-21,2019-04-04,30143
786,LU0292106167,XTRACK DBLCI COMM OPT YLD SWAP UCITS ETF,XDBC.MI,FX HEDGED DB LIQUID COMM IND OPTIMUM Y BALANCED,0.0055,COMMODITIES,XTRACKERS,ETF,XDBC.MI,2009-02-16,2019-04-04,7130
791,LU0489337690,XTRACKERS FTSE DEV EU REAL EST UCITS ETF,XDER.MI,FTSE EPRA NAREIT DEVELOP EU RE TR,0.004,REAL ESTATE,XTRACKERS,ETF,XDER.MI,2010-07-26,2019-04-04,1918
798,IE00BM67HW99,XTRACKERS S&P 500 EUR HED UCITS ETF,XDPE.MI,S&P 500 EURO HEDGED TRN,0.003,AZIONARIO NORD AMERICA,XTRACKERS,ETF,IE00BM67HW99,2015-04-09,2019-04-04,6642
801,IE00BJ0KDQ92,XTRACKERS MSCI WORLD UCITS ETF,XDWD.MI,MSCI TRN WORLD INDEX,0.0019,AZIONARIO MONDO,XTRACKERS,ETF,IE00BJ0KDQ92,2015-09-09,2019-04-04,1971
812,LU0380865021,XTRACKERS EURO STOXX 50 UCITS ETF 1C,XESC.MI,EURO STOXX 50 TRN,0.0009,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XESC.MI,2009-02-18,2019-04-04,65558
813,IE00BYTRMY76,XTRACKERS EUROZ GOV QUAL WEIGH UCITS ETF,XESQ.MI,MARKIT IBOXX EUR EUROZONE SOVEREIGNS QUA WEIGH IND,0.002,TITOLI DI STATO - EURO,XTRACKERS,ETF,IE00BYTRMY76,2016-09-01,2019-04-04,15
814,LU0274211217,XTRACKERS EURO STOXX 50 UCITS ETF 1D,XESX.MI,EURO STOXX 50,0.0009,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XESX.MI,2007-02-15,2019-04-04,13572
817,LU0730820569,XTRACK II GERM GOVT 7-10 SWAP UCITS ETF,XG71.MI,IBOXX EUR GERMANY 7-10 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XG71.MI,2012-04-26,2019-04-04,1056
818,LU0908508731,XTRACKERS II GLOB GOVT BOND UCITS ETF 5C,XG7S.MI,FTSE WORLD GOV BOND UNHEDGED,0.0025,TITOLI DI STATO - MONDO,XTRACKERS,ETF,LU0908508731,2013-10-23,2019-04-04,2017
822,LU0290355717,XTRACKERS II EUROZ GOVT UCITS ETF 1C,XGLE.MI,IBOXX SOVEREIGNS EUROZONE TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XGLE.MI,2007-11-06,2019-04-04,2729
824,LU0378818131,XTRACKERS II GL GOVT EUR HED C UCITS ETF,XGSH.MI,FTSE WORLD GOV BOND HEDGED,0.0025,TITOLI DI STATO - MONDO,XTRACKERS,ETF,XGSH.MI,2009-02-12,2019-04-04,2371
