,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
18,FR0010296061,LYXOR MSCI USA UCITS ETF - DIST,LUSA.MI,MSCI TRN USA INDEX,0.0025,AZIONARIO NORD AMERICA,LYXOR,ETF,LUSA.MI
19,FR0010312124,LYXOR MSCI ACASIA PAC EXJP UCITS ETF ACC,AEJ.MI,MSCI AC ASIA EX JAPAN TRN INDEX,0.006,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,AEJ.MI
20,FR0010315770,LYXOR MSCI WORLD UCITS ETF - DIST,WLD.MI,MSCI TRN WORLD INDEX,0.003,AZIONARIO MONDO,LYXOR,ETF,WLD.MI
21,FR0010326140,LYXOR RUSSIA (DJ RUSS GDR) UCITS ETF ACC,RUS.MI,DJ RUSSIA GDR PRICE,0.0065,AZIONARIO EMERGENTI - EST EUROPA,LYXOR,ETF,RUS.MI
22,FR0010326256,LYXOR TURKEY UCITS ETF - ACC,TUR.MI,DOW JONES TURKEY TITANS 20 TR,0.0065,AZIONARIO EMERGENTI - EST EUROPA,LYXOR,ETF,TUR.MI
23,FR0010344630,LYXOR STX EU600 AUTO&PART UCITS ETF ACC,AUTP.MI,STOXX EUROPE 600 AUTOMOBILES & PARTS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,AUTP.MI
24,FR0010344796,LYXOR STX EU600 TECHNOLOGY UCITS ETF ACC,TNO.MI,STOXX EUROPE 600 TECHNOLOGY TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,TNO.MI
25,FR0010344812,LYXOR STX EU600 TELECOM UCITS ETF ACC,TELE.MI,STOXX EUROPE 600 TELECOMMUNICATIONS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,TELE.MI
26,FR0010344838,LYXOR STX EU600 TRAV&LEIS UCITS ETF ACC,TRVL.MI,STOXX EUROPE 600 TRAVEL & LEISURE TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,TRVL.MI
27,FR0010344853,LYXOR STX EU600 UTILITIES UCITS ETF ACC,UTI.MI,STOXX EUROPE 600 UTILITIES TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,UTI.MI
28,FR0010344861,LYXOR STX EU 600 FOOD&BEV UCITS ETF ACC,FOO.MI,STOXX EUROPE 600 FOOD & BEVERAGE TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,FOO.MI
29,FR0010344879,LYXOR STX EU 600 HEALTHCAR UCITS ETF ACC,HLT.MI,STOXX EUROPE 600 HEALTH CARE TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,HLT.MI
30,FR0010344887,LYXOR STX EU600 IN GOO&SER UCITS ETF ACC,INDG.MI,STOXX EUROPE 600 INDUSTRIAL GOODS & SERVICES TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,INDG.MI
31,FR0010344903,LYXOR STX EU600 INSURANCE UCITS ETF ACC,INS.MI,STOXX EUROPE 600 INSURANCE TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,INS.MI
32,FR0010344929,LYXOR STX EU600 MEDIA UCITS ETF - ACC,MDA.MI,STOXX EUROPE 600 MEDIA TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,MDA.MI
